client_id,planned_event_id,start_time,status
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-05,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-06,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-07,COMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-08,COMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-09,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-10,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-11,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-12,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-13,COMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-14,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-15,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-16,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-17,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-18,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-19,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-21,CANCELED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-22,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-23,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-24,COMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-25,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-26,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-27,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-28,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-29,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,25eb66a1-42aa-4f16-a212-6bb10a1babf3,2021-07-30,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,2f2bc589-3181-4b2d-883d-af1ff121db2d,2021-10-21,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,141d6360-d7f2-46b9-94ff-dc5890843316,2022-01-20,COMPLETED
da1850b72fffacad55a49bff669f48c0,f6379483-b651-40bf-991a-245c7aa2b3ca,2022-02-02,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,dbf9e147-8495-4828-bc24-8bb6ff2b6a33,2022-02-08,INCOMPLETED
da1850b72fffacad55a49bff669f48c0,6d4fa48c-877b-45fa-8c23-aad4b4f9b24f,2022-02-09,COMPLETED
da1850b72fffacad55a49bff669f48c0,55988c9b-db0a-4edb-8720-445782e0ad53,2022-02-12,COMPLETED
da1850b72fffacad55a49bff669f48c0,021d9a37-77dd-4845-b6ef-a0d11b740d43,2022-02-16,COMPLETED
da1850b72fffacad55a49bff669f48c0,7fe3106d-ad1b-427a-949d-a1645a852890,2022-02-21,COMPLETED
da1850b72fffacad55a49bff669f48c0,aa912a7a-ae7a-457a-a06c-424cce8e0af6,2022-02-22,COMPLETED
